Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
06/27/2025,ProShares Ultra Gold,UGL,33.97402159,35.242006,-3.59793,-1.26798441,14300,485828508.737
06/26/2025,ProShares Ultra Gold,UGL,35.242006,35.13627873,0.30091,0.10572727,14000,493388084
06/25/2025,ProShares Ultra Gold,UGL,35.13627873,34.94038396,0.56065,0.19589477,14550,511232855.5215
06/24/2025,ProShares Ultra Gold,UGL,34.94038396,36.24383726,-3.59634,-1.3034533,14550,508382586.618
06/23/2025,ProShares Ultra Gold,UGL,36.24383726,36.03750008,0.57256,0.20633718,14950,541845367.037
06/20/2025,ProShares Ultra Gold,UGL,36.03750008,36.51267234,-1.30139,-0.47517226,14950,538760626.196
06/18/2025,ProShares Ultra Gold,UGL,36.51267234,36.48412725,0.07824,0.02854509,14550,531259382.547
06/17/2025,ProShares Ultra Gold,UGL,36.48412725,36.70392914,-0.59885,-0.21980189,14550,530844051.4875
06/16/2025,ProShares Ultra Gold,UGL,36.70392914,37.46614059,-2.03440,-0.76221145,14350,526701383.159
06/13/2025,ProShares Ultra Gold,UGL,37.46614059,36.3854497625,2.97012,1.0806908275,14350,537639117.4665
06/12/2025,ProShares Ultra Gold,UGL,36.3854497625,35.14926199,3.51697,1.2361877725,14000,509396296.675
06/11/2025,ProShares Ultra Gold,UGL,35.14926199,35.1399988225,0.02636,0.0092631675,14000,492089667.86
06/10/2025,ProShares Ultra Gold,UGL,35.1399988225,35.37966941,-0.67742,-0.2396705875,14000,491959983.515
06/09/2025,ProShares Ultra Gold,UGL,35.37966941,35.1962689225,0.52108,0.1834004875,14000,495315371.74
06/06/2025,ProShares Ultra Gold,UGL,35.1962689225,35.797201915,-1.67871,-0.6009329925,14000,492747764.915
06/05/2025,ProShares Ultra Gold,UGL,35.797201915,36.308896515,-1.40928,-0.5116946,14000,501160826.81
06/04/2025,ProShares Ultra Gold,UGL,36.308896515,35.8368148125,1.31731,0.4720817025,14000,508324551.21
06/03/2025,ProShares Ultra Gold,UGL,35.8368148125,36.2629267925,-1.17506,-0.42611198,14000,501715407.375
06/02/2025,ProShares Ultra Gold,UGL,36.2629267925,34.55304375,4.94857,1.7098830425,14000,507680975.095
05/30/2025,ProShares Ultra Gold,UGL,34.55304375,35.14625353,-1.68783,-0.59320978,14000,483742612.5
05/29/2025,ProShares Ultra Gold,UGL,35.14625353,34.694279925,1.30273,0.451973605,13800,485018298.714
05/28/2025,ProShares Ultra Gold,UGL,34.694279925,34.813860605,-0.34349,-0.11958068,14000,485719918.95
05/27/2025,ProShares Ultra Gold,UGL,34.813860605,36.21663878,-3.87330,-1.402778175,14200,494356820.591
05/23/2025,ProShares Ultra Gold,UGL,36.21663878,34.7319180875,4.27480,1.4847206925,14400,521519598.432
05/22/2025,ProShares Ultra Gold,UGL,34.7319180875,35.113681245,-1.08722,-0.3817631575,13600,472354085.99
05/21/2025,ProShares Ultra Gold,UGL,35.113681245,34.5001640425,1.77830,0.6135172025,13800,484568801.181
05/20/2025,ProShares Ultra Gold,UGL,34.5001640425,33.4467984625,3.14938,1.05336558,13800,476102263.7865
05/19/2025,ProShares Ultra Gold,UGL,33.4467984625,32.4876620325,2.95231,0.95913643,14200,474944538.1675
05/16/2025,ProShares Ultra Gold,UGL,32.4876620325,33.2978691225,-2.43321,-0.81020709,14200,461324800.8615
05/15/2025,ProShares Ultra Gold,UGL,33.2978691225,32.5237251075,2.38024,0.774144015,14200,472829741.5395
05/14/2025,ProShares Ultra Gold,UGL,32.5237251075,33.754437335,-3.64608,-1.2307122275,14200,461836896.5265
05/13/2025,ProShares Ultra Gold,UGL,33.754437335,33.34509596,1.22759,0.409341375,14400,486063897.624
05/12/2025,ProShares Ultra Gold,UGL,33.34509596,35.8154571775,-6.89747,-2.4703612175,14400,480169381.824
