Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
09/16/2025,ProShares UltraShort Silver,ZSL,184.7492885,184.3573889,0.21258,0.3918996,141.03,26054527.0597164
09/15/2025,ProShares UltraShort Silver,ZSL,184.3573889,185.486711,-0.60884,-1.1293221,121.03,22312111.09196696
09/12/2025,ProShares UltraShort Silver,ZSL,185.486711,191.6631369,-3.22254,-6.1764259,121.03,22448788.8801704
09/11/2025,ProShares UltraShort Silver,ZSL,191.6631369,196.8614697,-2.64060,-5.1983328,116.03,22237983.78721416
09/10/2025,ProShares UltraShort Silver,ZSL,196.8614697,199.3539511,-1.25028,-2.4924814,126.03,24809742.32500008
09/09/2025,ProShares UltraShort Silver,ZSL,199.3539511,194.1350029,2.68831,5.2189482,126.03,25123860.78290904
09/08/2025,ProShares UltraShort Silver,ZSL,194.1350029,197.4386255,-1.67324,-3.3036226,126.03,24466135.52947656
09/05/2025,ProShares UltraShort Silver,ZSL,197.4386255,198.7294594,-0.64954,-1.2908339,156.03,30805637.9577132
09/04/2025,ProShares UltraShort Silver,ZSL,198.7294594,192.838185,3.05504,5.8912744,156.03,31007042.12412816
09/03/2025,ProShares UltraShort Silver,ZSL,192.838185,197.27625,-2.24967,-4.438065,156.03,30087847.788084
09/02/2025,ProShares UltraShort Silver,ZSL,197.27625,206.0635181,-4.26435,-8.7872681,141.03,27821159.343
08/29/2025,ProShares UltraShort Silver,ZSL,206.0635181,217.1931218,-5.12429,-11.1296037,126.03,25969443.35747784
08/28/2025,ProShares UltraShort Silver,ZSL,217.1931218,222.7546995,-2.49673,-5.5615777,111.03,24114170.41821552
08/27/2025,ProShares UltraShort Silver,ZSL,222.7546995,223.8326781,-0.48160,-1.0779786,111.03,24731652.3685668
08/26/2025,ProShares UltraShort Silver,ZSL,223.8326781,222.7317951,0.49426,1.100883,111.03,24851336.45180184
08/25/2025,ProShares UltraShort Silver,ZSL,222.7317951,218.9190518,1.74162,3.8127433,116.03,25842768.35099064
08/22/2025,ProShares UltraShort Silver,ZSL,218.9190518,230.5663798,-5.05162,-11.647328,116.03,25400389.47176752
08/21/2025,ProShares UltraShort Silver,ZSL,230.5663798,234.4537387,-1.65805,-3.8873589,116.03,26751787.00922672
08/20/2025,ProShares UltraShort Silver,ZSL,234.4537387,240.1072247,-2.35457,-5.653486,126.03,29547360.65490168
08/19/2025,ProShares UltraShort Silver,ZSL,240.1072247,231.5570427,3.69247,8.550182,126.03,30259849.14293208
08/18/2025,ProShares UltraShort Silver,ZSL,231.5570427,232.2310822,-0.29025,-0.6740395,121.03,28024515.27262728
08/15/2025,ProShares UltraShort Silver,ZSL,232.2310822,231.0838406,0.49646,1.1472416,116.03,26944936.43577008
08/14/2025,ProShares UltraShort Silver,ZSL,231.0838406,224.856766,2.76935,6.2270746,116.03,26811826.12299184
08/13/2025,ProShares UltraShort Silver,ZSL,224.856766,232.1570344,-3.14454,-7.3002684,121.03,27213604.9046224
08/12/2025,ProShares UltraShort Silver,ZSL,232.1570344,234.7990912,-1.12524,-2.6420568,116.03,26936344.93610816
08/11/2025,ProShares UltraShort Silver,ZSL,234.7990912,225.9384862,3.92169,8.860605,116.03,27242893.27520768
08/08/2025,ProShares UltraShort Silver,ZSL,225.9384862,228.9029768,-1.29509,-2.9644906,116.03,26214829.17523568
08/07/2025,ProShares UltraShort Silver,ZSL,228.9029768,233.729302,-2.06492,-4.8263252,116.03,26558788.34738752
08/06/2025,ProShares UltraShort Silver,ZSL,233.729302,234.6990876,-0.41320,-0.9697856,121.03,28287415.9955728
08/05/2025,ProShares UltraShort Silver,ZSL,234.6990876,241.0792834,-2.64651,-6.3801958,121.03,28404785.65551264
08/04/2025,ProShares UltraShort Silver,ZSL,241.0792834,246.3796933,-2.15132,-5.3004099,121.03,29176957.78448176
08/01/2025,ProShares UltraShort Silver,ZSL,246.3796933,249.3092024,-1.17505,-2.9295091,121.03,29818447.31320312
07/31/2025,ProShares UltraShort Silver,ZSL,249.3092024,236.4284215,5.44807,12.8807809,121.03,30172995.25334336
07/30/2025,ProShares UltraShort Silver,ZSL,236.4284215,229.8525373,2.86091,6.5758842,141.03,33342649.1418276
